Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/436 [00:00<?, ?it/s]Loading weights: 100%|██████████| 436/436 [00:00<00:00, 6761.48it/s]
gpt2-large: lens-vs-model agreement + top-1 autocorrelation (16 wikitext seqs)
  L   top1  top10  autocorr   null
  0   0.02   0.10      0.03   0.03
  1   0.01   0.11      0.04   0.03
  2   0.02   0.09      0.04   0.03
  3   0.01   0.09      0.05   0.04
  4   0.01   0.07      0.05   0.05
  5   0.03   0.11      0.03   0.03
  6   0.03   0.11      0.03   0.03
  7   0.02   0.11      0.03   0.02
  8   0.02   0.10      0.03   0.01
  9   0.01   0.07      0.03   0.01
 10   0.01   0.06      0.02   0.01
 11   0.01   0.04      0.02   0.01
 12   0.01   0.05      0.02   0.01
 13   0.01   0.06      0.03   0.00
 14   0.01   0.06      0.03   0.01
 15   0.02   0.06      0.03   0.01
 16   0.02   0.07      0.05   0.01
 17   0.03   0.10      0.06   0.00
 18   0.03   0.13      0.06   0.00
 19   0.04   0.16      0.09   0.01
 20   0.06   0.19      0.08   0.01
 21   0.06   0.23      0.09   0.01
 22   0.09   0.27      0.08   0.01
 23   0.12   0.30      0.09   0.01
 24   0.15   0.32      0.09   0.02
 25   0.16   0.34      0.08   0.01
 26   0.18   0.37      0.09   0.02
 27   0.18   0.38      0.08   0.02
 28   0.21   0.42      0.08   0.01
 29   0.21   0.43      0.07   0.01
 30   0.23   0.47      0.07   0.01
 31   0.26   0.52      0.07   0.01
 32   0.30   0.58      0.07   0.02
 33   0.36   0.65      0.05   0.01
 34   0.47   0.81      0.04   0.01
