Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]Loading weights:  14%|█▍        | 42/292 [00:00<00:00, 419.70it/s]Loading weights:  29%|██▉       | 84/292 [00:00<00:00, 410.68it/s]Loading weights:  43%|████▎     | 126/292 [00:00<00:00, 290.58it/s]Loading weights:  54%|█████▍    | 159/292 [00:00<00:00, 301.29it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 578.61it/s]
gpt2-medium: lens-vs-model agreement + top-1 autocorrelation (16 wikitext seqs)
  L   top1  top10  autocorr   null
  0   0.02   0.20      0.27   0.27
  1   0.00   0.09      0.04   0.04
  2   0.00   0.06      0.02   0.03
  3   0.00   0.07      0.03   0.04
  4   0.00   0.04      0.02   0.02
  5   0.00   0.01      0.07   0.05
  6   0.00   0.01      0.05   0.03
  7   0.00   0.07      0.05   0.02
  8   0.00   0.01      0.06   0.03
  9   0.00   0.03      0.07   0.04
 10   0.01   0.06      0.04   0.02
 11   0.02   0.10      0.06   0.02
 12   0.02   0.10      0.06   0.01
 13   0.03   0.15      0.07   0.01
 14   0.06   0.19      0.06   0.00
 15   0.08   0.25      0.08   0.01
 16   0.10   0.26      0.08   0.01
 17   0.11   0.27      0.08   0.01
 18   0.14   0.31      0.07   0.02
 19   0.18   0.40      0.06   0.01
 20   0.21   0.45      0.06   0.01
 21   0.27   0.57      0.05   0.01
 22   0.39   0.73      0.05   0.01
