Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 16723.88it/s]
gpt2: lens-vs-model agreement + top-1 autocorrelation (48 wikitext seqs)
  L   top1  top10  autocorr   null
  0   0.00   0.00      0.03   0.03
  1   0.00   0.01      0.06   0.07
  2   0.00   0.01      0.03   0.03
  3   0.00   0.01      0.02   0.02
  4   0.00   0.01      0.03   0.02
  5   0.00   0.02      0.02   0.01
  6   0.01   0.05      0.03   0.01
  7   0.03   0.12      0.04   0.01
  8   0.05   0.17      0.05   0.01
  9   0.15   0.33      0.06   0.01
 10   0.28   0.54      0.06   0.01
