Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/436 [00:00<?, ?it/s]Loading weights: 100%|██████████| 436/436 [00:00<00:00, 6981.09it/s]
fr1  French   presence r/c/cont   0/  0/  1  report ok->FLIP  country ok->FLIP  cont Fr->Fr
fr2  French   presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont Fr->Fr
de1  German   presence r/c/cont  20/ 18/  9  report ok->FLIP  country ok->FLIP  cont Ge->Ge
de2  German   presence r/c/cont   4/  6/  4  report ok->FLIP  country ok->FLIP  cont Ge->Ge
es1  Spanish  presence r/c/cont   1/  2/  7  report ok->FLIP  country ok->FLIP  cont Sp->Sp
es2  Spanish  presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont Sp->Sp
it1  Italian  presence r/c/cont  11/ 11/  1  report ok->FLIP  country ok->FLIP  cont It->It
it2  Italian  presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont It->It
fx1  French   presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont Fr->Fr
gx1  German   presence r/c/cont  25/ 20/ 19  report ok->FLIP  country ok->FLIP  cont Ge->Ge
sx1  Spanish  presence r/c/cont   9/  9/ 30  report ok->FLIP  country ok->FLIP  cont Sp->Sp
ix1  Italian  presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont It->It

flexible follows swap: 24/24 (report 12/12, country 12/12)
automatic continuation changed: 0/12 (true redirects to alt language: 0; other changes: [])
presence (language name in lens, best rank over last-10 passage positions): median 1
