Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 3003.43it/s]
clean     wikitext   (shallow ) 1.00
clean     copy       (shallow ) 1.00
clean     cont_lang  (shallow ) 1.00
clean     twohop     (flexible) 1.00
clean     country    (flexible) 0.92
clean     report     (flexible) 1.00
ablate    wikitext   (shallow ) 0.55
ablate    copy       (shallow ) 0.61
ablate    cont_lang  (shallow ) 0.92
ablate    twohop     (flexible) 0.00
