Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/436 [00:00<?, ?it/s]Loading weights: 100%|██████████| 436/436 [00:00<00:00, 7637.63it/s]
categories: 7 (usable = member in output top-5)
per-layer mean Spearman (lens ranks vs output ranks of members):
  L 0  +0.037  (min -0.48, max +0.48)
  L 1  +0.163  (min -0.30, max +0.62)
  L 2  +0.059  (min -0.30, max +0.62)
  L 3  +0.133  (min -0.28, max +0.61)
  L 4  +0.056  (min -0.37, max +0.55)
  L 5  +0.109  (min -0.23, max +0.60)
  L 6  +0.017  (min -0.45, max +0.69)
  L 7  +0.041  (min -0.64, max +0.67)
  L 8  +0.105  (min -0.48, max +0.79)
  L 9  +0.058  (min -0.45, max +0.71)
  L10  +0.162  (min -0.42, max +0.88)
  L11  +0.058  (min -0.60, max +0.98)
  L12  +0.141  (min -0.60, max +0.83)
  L13  +0.072  (min -0.83, max +0.81)
  L14  +0.126  (min -0.93, max +0.86)
  L15  +0.245  (min -0.79, max +0.95)
  L16  +0.308  (min -0.62, max +0.98)
  L17  +0.385  (min -0.55, max +0.95)
  L18  +0.330  (min -0.57, max +0.98)
  L19  +0.348  (min -0.31, max +0.98)
  L20  +0.347  (min -0.36, max +0.93)
  L21  +0.331  (min -0.31, max +0.93)
  L22  +0.349  (min -0.33, max +0.93)
  L23  +0.398  (min -0.27, max +0.98)
  L24  +0.462  (min -0.17, max +0.90)
  L25  +0.434  (min -0.23, max +0.88)
  L26  +0.444  (min -0.10, max +0.86)
  L27  +0.460  (min -0.21, max +0.83)
  L28  +0.484  (min -0.34, max +0.86)
  L29  +0.461  (min -0.37, max +0.81)
  L30  +0.489  (min -0.35, max +0.83)
  L31  +0.554  (min -0.28, max +0.90)
  L32  +0.653  (min +0.24, max +0.93)
  L33  +0.744  (min +0.47, max +0.93)
  L34  +0.808  (min +0.65, max +0.93)
