Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/436 [00:00<?, ?it/s]Loading weights: 100%|██████████| 436/436 [00:00<00:00, 6384.00it/s]
cf1  French   presence r/c/cont   0/  0/  1  report ok->FLIP  country ok->FLIP  cont Fr->Fr
cf2  French   presence r/c/cont   2/  2/  1  report ok->FLIP  country ok->FLIP  cont Fr->Fr
cf3  French   presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont Fr->Fr
cg1  German   presence r/c/cont  34/ 32/ 31  report ok->FLIP  country ok->FLIP  cont Ge->Ge
cg2  German   presence r/c/cont  44/ 43/ 33  report ok->FLIP  country ok->FLIP  cont Ge->Ge
cg3  German   presence r/c/cont   6/  6/  6  report ok->FLIP  country ok->FLIP  cont Ge->Ge
cs1  Spanish  presence r/c/cont  19/ 19/ 18  report ok->FLIP  country ok->FLIP  cont Sp->Sp
cs2  Spanish  presence r/c/cont   7/  6/ 10  report ok->FLIP  country ok->FLIP  cont Sp->Sp
cs3  Spanish  presence r/c/cont  12/ 11/ 14  report ok->FLIP  country ok->FLIP  cont Sp->Sp
ci1  Italian  presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont It->It
ci2  Italian  presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont It->It
ci3  Italian  presence r/c/cont   0/  0/  0  report ok->FLIP  country ok->FLIP  cont It->It

flexible follows swap: 24/24 (report 12/12, country 12/12)
automatic continuation changed: 0/12 (true redirects to alt language: 0; other changes: [])
presence (language name in lens, best rank over last-10 passage positions): median 6
