Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/436 [00:00<?, ?it/s]Loading weights: 100%|██████████| 436/436 [00:00<00:00, 8552.60it/s]
L 0  occupancy median   4  IQR [3, 6]
L 1  occupancy median   2  IQR [1, 3]
L 2  occupancy median   2  IQR [1, 4]
L 3  occupancy median   2  IQR [1, 8]
L 4  occupancy median   4  IQR [2, 9]
L 5  occupancy median   5  IQR [1, 8]
L 6  occupancy median   3  IQR [1, 8]
L 7  occupancy median   2  IQR [1, 7]
L 8  occupancy median   2  IQR [1, 7]
L 9  occupancy median   2  IQR [1, 5]
L10  occupancy median   2  IQR [1, 5]
L11  occupancy median   2  IQR [1, 5]
L12  occupancy median   1  IQR [1, 4]
L13  occupancy median   2  IQR [1, 3]
L14  occupancy median   1  IQR [1, 2]
L15  occupancy median   1  IQR [0, 3]
L16  occupancy median   2  IQR [1, 3]
L17  occupancy median   1  IQR [1, 3]
L18  occupancy median   2  IQR [1, 4]
L19  occupancy median   2  IQR [1, 4]
L20  occupancy median   3  IQR [1, 5]
L21  occupancy median   3  IQR [2, 5]
L22  occupancy median   5  IQR [3, 7]
L23  occupancy median   6  IQR [4, 8]
L24  occupancy median   7  IQR [4, 10]
L25  occupancy median   8  IQR [4, 11]
L26  occupancy median   9  IQR [6, 11]
L27  occupancy median  10  IQR [7, 21]
L28  occupancy median  10  IQR [6, 15]
L29  occupancy median   9  IQR [7, 14]
L30  occupancy median   9  IQR [6, 13]
L31  occupancy median   9  IQR [7, 13]
L32  occupancy median   8  IQR [5, 12]
L33  occupancy median   6  IQR [4, 9]
L34  occupancy median   5  IQR [4, 7]
