Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 2919.61it/s]
L 0  occupancy median   1  IQR [0, 1]
L 1  occupancy median   1  IQR [0, 1]
L 2  occupancy median   1  IQR [0, 1]
L 3  occupancy median   1  IQR [0, 1]
L 4  occupancy median   1  IQR [0, 1]
L 5  occupancy median   0  IQR [0, 1]
L 6  occupancy median   0  IQR [0, 1]
L 7  occupancy median   0  IQR [0, 1]
L 8  occupancy median   0  IQR [0, 1]
L 9  occupancy median   0  IQR [0, 1]
L10  occupancy median   0  IQR [0, 1]
L11  occupancy median   1  IQR [0, 1]
L12  occupancy median   1  IQR [0, 1]
L13  occupancy median   1  IQR [0, 1]
L14  occupancy median   1  IQR [0, 1]
L15  occupancy median   1  IQR [1, 3]
L16  occupancy median   2  IQR [1, 4]
L17  occupancy median   2  IQR [1, 3]
L18  occupancy median   2  IQR [1, 3]
L19  occupancy median   3  IQR [1, 4]
L20  occupancy median   2  IQR [2, 3]
L21  occupancy median   1  IQR [1, 2]
L22  occupancy median   1  IQR [0, 1]
