n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
1,0,128,111,1.222,3.774518,nan
2,1,128,111,0.272,3.936865,0.33640947
3,2,128,111,0.205,3.986085,0.16737059
4,3,128,111,0.274,3.896588,0.13532174
5,4,128,111,0.199,3.851968,0.09556380
6,5,128,111,0.205,3.858120,0.08258652
7,6,128,111,0.280,3.825957,0.07237617
8,7,128,111,0.205,3.803639,0.05707895
9,8,128,111,0.274,3.806561,0.04767737
10,9,128,111,0.199,3.761556,0.04701945
11,10,128,111,0.205,3.692989,0.05358704
12,11,128,111,0.278,3.679750,0.04988103
13,12,128,111,0.205,3.663311,0.04836835
14,13,128,111,0.275,3.640143,0.04714498
15,14,128,111,0.200,3.621790,0.03838693
16,15,128,111,0.205,3.615745,0.03425861
17,16,128,111,0.275,3.613536,0.02915806
18,17,128,111,0.199,3.610734,0.03113654
19,18,128,111,0.203,3.601646,0.02299582
20,19,128,111,0.275,3.595736,0.02446827
21,20,128,111,0.199,3.597594,0.02229655
22,21,128,111,0.204,3.594102,0.02519299
23,22,128,111,0.275,3.590378,0.02403759
24,23,128,111,0.199,3.585328,0.02285218
25,24,128,111,0.204,3.582135,0.02226731
26,25,128,111,0.194,3.586636,0.02032420
27,26,128,111,0.275,3.589973,0.01852819
28,27,128,111,0.198,3.568984,0.02125937
29,28,128,111,0.205,3.545360,0.01938992
30,29,128,111,0.281,3.539493,0.02108742
31,30,128,111,0.286,3.532332,0.01784797
32,31,128,111,0.210,3.530466,0.01937165
33,32,128,111,0.275,3.524075,0.02847452
34,33,128,111,0.198,3.513951,0.02156671
35,34,128,111,0.206,3.510931,0.02028071
36,35,128,111,0.274,3.508057,0.01868585
37,36,128,111,0.198,3.502056,0.01872843
38,37,128,111,0.206,3.503871,0.01641505
39,38,128,111,0.274,3.503372,0.01529686
40,39,128,111,0.199,3.506272,0.01343784
41,40,128,111,0.205,3.511497,0.01368653
42,41,128,111,0.275,3.512452,0.01899432
43,42,128,111,0.199,3.514098,0.01428574
44,43,128,111,0.204,3.514644,0.01526656
45,44,128,111,0.276,3.512995,0.01230364
46,45,128,111,0.198,3.510407,0.01216768
47,46,128,111,0.206,3.510575,0.01012910
48,47,128,111,0.274,3.510160,0.01082408
49,48,128,111,0.200,3.510515,0.01098542
50,49,128,111,0.203,3.508129,0.01072481
51,50,128,111,0.276,3.511518,0.01228256
52,51,128,111,0.199,3.510743,0.01131725
53,52,128,111,0.205,3.507626,0.00997429
54,53,128,111,0.269,3.509236,0.01183920
55,54,128,111,0.198,3.507422,0.01389126
56,55,128,111,0.206,3.505167,0.01119604
57,56,128,111,0.277,3.504242,0.00839409
58,57,128,111,0.206,3.502861,0.01012599
59,58,128,111,0.276,3.498564,0.00873207
60,59,128,111,0.212,3.496735,0.00743014
61,60,128,111,0.272,3.496486,0.00954175
62,61,128,111,0.199,3.493691,0.00860473
63,62,128,111,0.204,3.492952,0.00932094
64,63,128,111,0.275,3.493346,0.00942651
65,64,128,111,0.199,3.492901,0.00955879
66,65,128,111,0.205,3.492062,0.00808119
67,66,128,111,0.204,3.489027,0.00812811
68,67,128,111,0.200,3.492732,0.00808914
69,68,128,111,0.206,3.492675,0.00940302
70,69,128,111,0.275,3.489972,0.00803523
71,70,128,111,0.199,3.490116,0.00709754
72,71,128,111,0.205,3.492871,0.00622256
73,72,128,111,0.275,3.490596,0.00616037
74,73,128,111,0.199,3.492529,0.01234099
