n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
1,0,128,111,4.212,3.819495,nan
2,1,128,111,0.296,3.878441,0.37918395
3,2,128,111,0.280,3.877510,0.18466836
4,3,128,111,0.205,3.783781,0.12913479
5,4,128,111,0.274,3.759478,0.09221522
6,5,128,111,0.205,3.770956,0.08778264
7,6,128,111,0.265,3.755525,0.08036452
8,7,128,111,0.199,3.739575,0.05931110
9,8,128,111,0.293,3.768642,0.05713503
10,9,128,111,0.204,3.751226,0.05001414
11,10,128,111,0.272,3.687741,0.05200675
12,11,128,111,0.200,3.674124,0.06130877
13,12,128,111,0.206,3.655931,0.05990726
14,13,128,111,0.269,3.643518,0.06133301
15,14,128,111,0.199,3.643761,0.04442626
16,15,128,111,0.205,3.636094,0.04051666
17,16,128,111,0.268,3.646466,0.03898592
18,17,128,111,0.210,3.645358,0.03716108
19,18,128,111,0.269,3.648413,0.02903273
20,19,128,111,0.200,3.648889,0.03016794
21,20,128,111,0.205,3.642755,0.02587497
22,21,128,111,0.274,3.632536,0.03037471
23,22,128,111,0.209,3.624763,0.02849471
24,23,128,111,0.276,3.619906,0.02772905
25,24,128,111,0.296,3.615484,0.02564451
26,25,128,111,0.209,3.624388,0.02256936
27,26,128,111,0.204,3.632214,0.02308870
28,27,128,111,0.205,3.616624,0.02139203
29,28,128,111,0.274,3.594188,0.02056250
30,29,128,111,0.199,3.588189,0.02421646
31,30,128,111,0.205,3.580803,0.02086582
32,31,128,111,0.198,3.579855,0.02014594
33,32,128,111,0.200,3.572234,0.03161112
34,33,128,111,0.204,3.560566,0.02323339
35,34,128,111,0.274,3.549754,0.02201315
36,35,128,111,0.199,3.544707,0.02056879
37,36,128,111,0.205,3.537883,0.02063661
38,37,128,111,0.268,3.537874,0.01846963
39,38,128,111,0.200,3.534547,0.01781324
40,39,128,111,0.205,3.536296,0.01678450
41,40,128,111,0.199,3.538110,0.01687315
42,41,128,111,0.199,3.537899,0.01943837
43,42,128,111,0.206,3.537217,0.01787207
44,43,128,111,0.279,3.535774,0.01813109
45,44,128,111,0.209,3.533114,0.01446665
46,45,128,111,0.200,3.528612,0.01518272
47,46,128,111,0.206,3.526707,0.01185284
48,47,128,111,0.274,3.525752,0.01643781
49,48,128,111,0.199,3.527951,0.01183640
50,49,128,111,0.203,3.526092,0.01166897
51,50,128,111,0.189,3.526695,0.01572490
52,51,128,111,0.274,3.529203,0.01285848
53,52,128,111,0.199,3.524503,0.01177856
54,53,128,111,0.204,3.522844,0.01298671
55,54,128,111,0.276,3.525815,0.01435292
56,55,128,111,0.198,3.523850,0.01372934
57,56,128,111,0.204,3.524606,0.01045336
58,57,128,111,0.275,3.523015,0.01173199
59,58,128,111,0.198,3.522309,0.01056158
60,59,128,111,0.202,3.519653,0.00829723
61,60,128,111,0.275,3.518780,0.01044448
62,61,128,111,0.198,3.516629,0.01080870
63,62,128,111,0.203,3.515611,0.01061606
64,63,128,111,0.277,3.516071,0.01072880
65,64,128,111,0.198,3.516695,0.01001422
66,65,128,111,0.204,3.514726,0.00934647
67,66,128,111,0.194,3.511307,0.00999295
68,67,128,111,0.267,3.514902,0.00955524
69,68,128,111,0.200,3.513422,0.01067574
70,69,128,111,0.204,3.510967,0.00952616
71,70,128,111,0.275,3.511008,0.00801430
72,71,128,111,0.198,3.513215,0.00782663
73,72,128,111,0.203,3.512039,0.00709492
74,73,128,111,0.270,3.514277,0.01176787
75,74,128,111,0.199,3.512055,0.00820263
76,75,128,111,0.204,3.509369,0.00900803
77,76,128,111,0.276,3.509232,0.00904712
78,77,128,111,0.198,3.510917,0.00992862
79,78,128,111,0.205,3.509673,0.00826966
80,79,128,111,0.276,3.508942,0.00842250
81,80,128,111,0.197,3.509918,0.00975892
82,81,128,111,0.207,3.509127,0.00815520
83,82,128,111,0.269,3.510643,0.00874474
84,83,128,111,0.197,3.510826,0.00953604
85,84,128,111,0.204,3.511730,0.00948693
86,85,128,111,0.275,3.510769,0.00776008
87,86,128,111,0.198,3.512641,0.00846775
88,87,128,111,0.205,3.513041,0.00825770
89,88,128,111,0.273,3.516217,0.00944999
90,89,128,111,0.199,3.515212,0.00777150
91,90,128,111,0.205,3.515901,0.00749209
92,91,128,111,0.274,3.515611,0.00674901
93,92,128,111,0.200,3.517192,0.00702249
94,93,128,111,0.205,3.518914,0.00732131
95,94,128,111,0.275,3.520727,0.00813286
96,95,128,111,0.209,3.522420,0.00646815
97,96,128,111,0.275,3.525661,0.00674687
98,97,128,111,0.199,3.526625,0.00641489
99,98,128,111,0.205,3.526776,0.00643107
100,99,128,111,0.199,3.526156,0.00722394
101,100,128,111,0.198,3.527901,0.00582824
102,101,128,111,0.205,3.527315,0.00545886
103,102,128,111,0.263,3.527460,0.00552708
104,103,128,111,0.199,3.526898,0.00548377
105,104,128,111,0.205,3.528857,0.00560787
106,105,128,111,0.274,3.531102,0.00524900
107,106,128,111,0.199,3.533801,0.00594943
108,107,128,111,0.205,3.533175,0.00530792
109,108,128,111,0.200,3.533925,0.00564063
110,109,128,111,0.199,3.533000,0.00494638
111,110,128,111,0.205,3.531164,0.00696637
112,111,128,111,0.279,3.530112,0.00636204
113,112,128,111,0.205,3.528715,0.00528324
114,113,128,111,0.268,3.529751,0.00718647
115,114,128,111,0.207,3.526961,0.00629961
116,115,128,111,0.274,3.525924,0.00554961
117,116,128,111,0.200,3.524333,0.00548551
118,117,128,111,0.205,3.523551,0.00644066
119,118,128,111,0.200,3.524789,0.00605674
120,119,128,111,0.199,3.524222,0.00553840
121,120,128,111,0.205,3.523003,0.00617283
122,121,128,111,0.269,3.521188,0.00590221
123,122,128,111,0.209,3.520286,0.00554358
124,123,128,111,0.275,3.521102,0.00516755
125,124,128,111,0.200,3.521260,0.00575740
126,125,128,111,0.205,3.522470,0.00656425
127,126,128,111,0.273,3.524223,0.00722678
128,127,128,111,0.200,3.523101,0.00537877
129,128,128,111,0.204,3.522249,0.00409898
130,129,128,111,0.268,3.521225,0.00525166
131,130,128,111,0.200,3.521295,0.00455573
132,131,128,111,0.205,3.521198,0.00504530
133,132,128,111,0.272,3.520070,0.00485912
134,133,128,111,0.200,3.518497,0.00568005
135,134,128,111,0.277,3.517898,0.00657100
136,135,128,111,0.199,3.515760,0.00629903
137,136,128,111,0.204,3.514498,0.00558538
138,137,128,111,0.200,3.512924,0.00472881
139,138,128,111,0.199,3.513490,0.00449583
140,139,128,111,0.205,3.513895,0.00439907
141,140,128,111,0.274,3.513209,0.00405342
142,141,128,111,0.199,3.514580,0.00450665
143,142,128,111,0.205,3.514565,0.00453634
144,143,128,111,0.273,3.516066,0.00503825
145,144,128,111,0.200,3.516421,0.00409723
146,145,128,111,0.208,3.516951,0.00419877
147,146,128,111,0.203,3.516475,0.00371952
148,147,128,111,0.285,3.516899,0.00496649
149,148,128,111,0.199,3.517851,0.00404732
150,149,128,111,0.293,3.515960,0.00387781
151,150,128,111,0.207,3.514734,0.00720695
152,151,128,111,0.272,3.513614,0.00633408
153,152,128,111,0.198,3.512396,0.00558898
154,153,128,111,0.206,3.510078,0.00555486
155,154,128,111,0.274,3.508362,0.00504628
156,155,128,111,0.200,3.507782,0.00367907
157,156,128,111,0.205,3.505871,0.00382210
158,157,128,111,0.274,3.505368,0.00361000
159,158,128,111,0.198,3.504679,0.00376033
160,159,128,111,0.205,3.504177,0.00391755
161,160,128,111,0.263,3.504442,0.00409728
162,161,128,111,0.198,3.503992,0.00384356
163,162,128,111,0.206,3.503599,0.00339850
164,163,128,111,0.268,3.502862,0.00359456
165,164,128,111,0.200,3.501491,0.00361982
166,165,128,111,0.204,3.502114,0.00282128
167,166,128,111,0.275,3.502234,0.00350505
168,167,128,111,0.292,3.501282,0.00326288
169,168,128,111,0.211,3.501431,0.00341507
170,169,128,111,0.275,3.501949,0.00312071
171,170,128,111,0.198,3.503885,0.00339923
172,171,128,111,0.204,3.505748,0.00369859
173,172,128,111,0.274,3.505512,0.00417768
174,173,128,111,0.199,3.506074,0.00351620
175,174,128,111,0.205,3.507153,0.00317651
176,175,128,111,0.274,3.509356,0.00352463
177,176,128,111,0.199,3.508778,0.00315928
178,177,128,111,0.204,3.507519,0.00340761
179,178,128,111,0.275,3.507281,0.00392763
180,179,128,111,0.199,3.508054,0.00351644
181,180,128,111,0.205,3.507217,0.00320049
182,181,128,111,0.274,3.506608,0.00314017
183,182,128,111,0.199,3.506575,0.00312638
184,183,128,111,0.204,3.505466,0.00317285
185,184,128,111,0.275,3.506538,0.00375310
186,185,128,111,0.209,3.506060,0.00325387
187,186,128,111,0.276,3.505516,0.00304416
188,187,128,111,0.198,3.504472,0.00358814
189,188,128,111,0.206,3.504571,0.00309519
190,189,128,111,0.279,3.504641,0.00329109
191,190,128,111,0.206,3.505285,0.00328222
192,191,128,111,0.199,3.505708,0.00315758
193,192,128,111,0.199,3.505918,0.00327071
194,193,128,111,0.204,3.505204,0.00308970
195,194,128,111,0.273,3.504608,0.00322054
196,195,128,111,0.200,3.505578,0.00342402
197,196,128,111,0.205,3.504851,0.00306464
198,197,128,111,0.275,3.505136,0.00298585
199,198,128,111,0.199,3.506875,0.00361905
200,199,128,111,0.203,3.506670,0.00334490
201,200,128,111,0.269,3.506407,0.00304113
202,201,128,111,0.199,3.505701,0.00240057
203,202,128,111,0.205,3.505158,0.00391314
204,203,128,111,0.273,3.506192,0.00376010
205,204,128,111,0.199,3.506815,0.00348788
206,205,128,111,0.204,3.506506,0.00278470
207,206,128,111,0.198,3.506976,0.00303638
208,207,128,111,0.200,3.507474,0.00341218
209,208,128,111,0.203,3.506356,0.00328385
210,209,128,111,0.275,3.507044,0.00347375
211,210,128,111,0.198,3.507975,0.00350066
212,211,128,111,0.204,3.508331,0.00331741
213,212,128,111,0.272,3.508221,0.00353915
214,213,128,111,0.200,3.509445,0.00305338
215,214,128,111,0.204,3.510706,0.00310601
216,215,128,111,0.269,3.510322,0.00327608
217,216,128,111,0.199,3.510423,0.00334379
218,217,128,111,0.203,3.511381,0.00353628
219,218,128,111,0.274,3.511898,0.00374527
220,219,128,111,0.200,3.511768,0.00349544
221,220,128,111,0.204,3.511373,0.00254822
222,221,128,111,0.273,3.511310,0.00252831
223,222,128,111,0.199,3.512815,0.00309762
224,223,128,111,0.205,3.513342,0.00268408
225,224,128,111,0.277,3.513559,0.00264549
226,225,128,111,0.206,3.514308,0.00245028
227,226,128,111,0.274,3.514076,0.00268096
228,227,128,111,0.198,3.514802,0.00250464
229,228,128,111,0.205,3.515879,0.00250608
