n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
1,0,128,111,3.943,1.347828,nan
2,1,128,111,0.283,1.360884,0.32595144
3,2,128,111,0.202,1.331996,0.17543618
4,3,128,111,0.282,1.313238,0.12796842
5,4,128,111,0.203,1.318763,0.09914755
6,5,128,111,0.201,1.307291,0.07907815
7,6,128,111,0.199,1.298104,0.06424123
8,7,128,111,0.208,1.298917,0.06450749
9,8,128,111,0.199,1.302336,0.05334542
10,9,128,111,0.197,1.310824,0.04510679
11,10,128,111,0.205,1.313072,0.05000775
12,11,128,111,0.208,1.313451,0.05219463
13,12,128,111,0.280,1.311665,0.04665036
14,13,128,111,0.205,1.310336,0.05379507
15,14,128,111,0.201,1.312338,0.04640478
16,15,128,111,0.201,1.312074,0.03509796
17,16,128,111,0.208,1.309505,0.03240686
18,17,128,111,0.200,1.314314,0.03650991
19,18,128,111,0.203,1.315635,0.02827105
20,19,128,111,0.201,1.313882,0.02661312
21,20,128,111,0.201,1.309439,0.02279270
22,21,128,111,0.207,1.309313,0.02294789
23,22,128,111,0.199,1.312631,0.02372309
24,23,128,111,0.202,1.313784,0.02228744
25,24,128,111,0.201,1.313415,0.02126295
26,25,128,111,0.200,1.312105,0.02008469
27,26,128,111,0.209,1.314084,0.01981956
28,27,128,111,0.199,1.314489,0.02615614
29,28,128,111,0.202,1.309859,0.02134763
30,29,128,111,0.279,1.309138,0.01943483
31,30,128,111,0.206,1.308003,0.01739845
32,31,128,111,0.202,1.308170,0.01626112
33,32,128,111,0.201,1.309874,0.02250991
34,33,128,111,0.209,1.308336,0.01762769
35,34,128,111,0.200,1.306022,0.01737711
36,35,128,111,0.288,1.307692,0.01867723
37,36,128,111,0.206,1.308767,0.01685053
38,37,128,111,0.279,1.308783,0.01578451
39,38,128,111,0.207,1.309273,0.01448469
40,39,128,111,0.280,1.309818,0.01508466
41,40,128,111,0.206,1.308907,0.01325168
42,41,128,111,0.280,1.309223,0.01628362
43,42,128,111,0.212,1.308550,0.01593597
44,43,128,111,0.203,1.307618,0.01303450
45,44,128,111,0.288,1.308161,0.01143539
46,45,128,111,0.206,1.308037,0.01357133
47,46,128,111,0.280,1.308467,0.01048743
48,47,128,111,0.206,1.307814,0.01065354
49,48,128,111,0.201,1.307591,0.01058261
50,49,128,111,0.202,1.308208,0.01030007
51,50,128,111,0.208,1.308378,0.01181262
52,51,128,111,0.278,1.309094,0.01252323
53,52,128,111,0.202,1.308017,0.01043785
54,53,128,111,0.280,1.308203,0.01030993
55,54,128,111,0.206,1.308438,0.01479286
56,55,128,111,0.280,1.308846,0.01080815
57,56,128,111,0.206,1.308804,0.00872326
58,57,128,111,0.201,1.308757,0.01033041
59,58,128,111,0.201,1.310294,0.01151608
60,59,128,111,0.287,1.310374,0.00786512
61,60,128,111,0.214,1.308679,0.00879154
62,61,128,111,0.201,1.309263,0.00828840
63,62,128,111,0.201,1.310107,0.00863546
64,63,128,111,0.201,1.309617,0.00911661
65,64,128,111,0.199,1.309918,0.00802902
66,65,128,111,0.203,1.310213,0.00824906
67,66,128,111,0.277,1.309899,0.00817229
68,67,128,111,0.201,1.309611,0.00725839
69,68,128,111,0.285,1.309955,0.00878952
70,69,128,111,0.206,1.308821,0.00756422
71,70,128,111,0.281,1.309004,0.00675695
72,71,128,111,0.205,1.310159,0.00663388
73,72,128,111,0.281,1.309809,0.00782390
74,73,128,111,0.206,1.310624,0.01094001
75,74,128,111,0.201,1.310163,0.00718213
76,75,128,111,0.204,1.310401,0.00734038
77,76,128,111,0.210,1.310063,0.00760053
78,77,128,111,0.200,1.309902,0.00734928
79,78,128,111,0.202,1.309601,0.00629115
80,79,128,111,0.280,1.308997,0.00688758
81,80,128,111,0.206,1.308902,0.00757792
82,81,128,111,0.279,1.308170,0.00649438
83,82,128,111,0.207,1.308278,0.00657717
84,83,128,111,0.280,1.308430,0.00680364
85,84,128,111,0.206,1.308364,0.00716866
86,85,128,111,0.278,1.307697,0.00628794
87,86,128,111,0.205,1.307742,0.00684403
88,87,128,111,0.282,1.307447,0.00671296
89,88,128,111,0.208,1.307669,0.00776827
90,89,128,111,0.207,1.307524,0.00760577
91,90,128,111,0.202,1.307837,0.00599284
92,91,128,111,0.200,1.307688,0.00538299
93,92,128,111,0.287,1.307872,0.00595957
94,93,128,111,0.207,1.308564,0.00639225
95,94,128,111,0.283,1.308417,0.00594993
96,95,128,111,0.204,1.307412,0.00562677
97,96,128,111,0.277,1.307657,0.00547723
98,97,128,111,0.206,1.307776,0.00563721
99,98,128,111,0.279,1.307129,0.00496996
100,99,128,111,0.207,1.305849,0.00521318
101,100,128,111,0.284,1.305011,0.00485132
102,101,128,111,0.204,1.304096,0.00459388
103,102,128,111,0.283,1.304172,0.00472984
104,103,128,111,0.201,1.304175,0.00462540
105,104,128,111,0.279,1.304506,0.00489721
106,105,128,111,0.205,1.305066,0.00485268
107,106,128,111,0.280,1.305203,0.00505857
108,107,128,111,0.205,1.305231,0.00487219
109,108,128,111,0.280,1.305178,0.00494711
110,109,128,111,0.206,1.305198,0.00454447
111,110,128,111,0.280,1.305765,0.00575975
112,111,128,111,0.206,1.304959,0.00518351
113,112,128,111,0.280,1.303971,0.00480904
114,113,128,111,0.206,1.303884,0.00598444
115,114,128,111,0.280,1.304033,0.00500378
116,115,128,111,0.206,1.304026,0.00481863
117,116,128,111,0.280,1.304087,0.00450985
118,117,128,111,0.206,1.303363,0.00506522
119,118,128,111,0.201,1.303465,0.00454031
120,119,128,111,0.200,1.304064,0.00509796
121,120,128,111,0.287,1.303672,0.00441916
122,121,128,111,0.207,1.303396,0.00460138
123,122,128,111,0.280,1.303385,0.00496032
124,123,128,111,0.206,1.303592,0.00420074
125,124,128,111,0.280,1.303643,0.00440193
126,125,128,111,0.206,1.303452,0.00503519
127,126,128,111,0.279,1.303136,0.00490563
128,127,128,111,0.211,1.302268,0.00414702
129,128,128,111,0.205,1.301878,0.00413828
130,129,128,111,0.286,1.302531,0.00455321
131,130,128,111,0.205,1.301885,0.00383682
132,131,128,111,0.280,1.302128,0.00411521
133,132,128,111,0.206,1.302083,0.00390796
134,133,128,111,0.201,1.302396,0.00413891
135,134,128,111,0.201,1.302047,0.00548227
136,135,128,111,0.207,1.302022,0.00437529
137,136,128,111,0.195,1.302229,0.00425332
138,137,128,111,0.205,1.302445,0.00405873
139,138,128,111,0.202,1.302819,0.00376436
140,139,128,111,0.200,1.303339,0.00377125
141,140,128,111,0.202,1.303343,0.00364005
142,141,128,111,0.280,1.303497,0.00399039
143,142,128,111,0.206,1.303956,0.00436310
144,143,128,111,0.281,1.304237,0.00378149
