n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
1,0,128,111,4.185,1.227789,nan
2,1,128,111,0.023,1.196019,0.75105881
3,2,128,111,0.020,1.144431,0.55170068
4,3,128,111,0.087,1.142830,0.41310987
5,4,128,111,0.019,1.126634,0.38660326
6,5,128,111,0.075,1.118023,0.30182427
7,6,128,111,0.019,1.143197,0.30715882
8,7,128,111,0.065,1.124354,0.27428936
9,8,128,111,0.020,1.120376,0.22591558
10,9,128,111,0.080,1.113377,0.24568867
11,10,128,111,0.019,1.100568,0.23452861
12,11,128,111,0.072,1.097121,0.26526761
13,12,128,111,0.021,1.095059,0.18130071
14,13,128,111,0.086,1.092670,0.18152481
15,14,128,111,0.018,1.096012,0.40116315
16,15,128,111,0.018,1.096599,0.13996222
17,16,128,111,0.063,1.094695,0.21608311
18,17,128,111,0.082,1.096108,0.16883338
19,18,128,111,0.018,1.095732,0.13759670
20,19,128,111,0.017,1.093953,0.14980142
21,20,128,111,0.077,1.094114,0.13480821
22,21,128,111,0.018,1.091877,0.13550221
23,22,128,111,0.078,1.094209,0.11720072
24,23,128,111,0.017,1.094573,0.18106214
25,24,128,111,0.074,1.098066,0.12389474
26,25,128,111,0.017,1.101284,0.12288634
27,26,128,111,0.069,1.100850,0.17236379
28,27,128,111,0.017,1.100438,0.13764025
29,28,128,111,0.017,1.098670,0.12467204
30,29,128,111,0.078,1.099331,0.13246437
31,30,128,111,0.017,1.101224,0.13103724
32,31,128,111,0.077,1.100139,0.13807538
33,32,128,111,0.017,1.097740,0.09402268
34,33,128,111,0.079,1.093984,0.11002880
35,34,128,111,0.017,1.093253,0.07629818
36,35,128,111,0.069,1.091274,0.10368829
37,36,128,111,0.017,1.092527,0.07956707
38,37,128,111,0.075,1.092116,0.12533550
39,38,128,111,0.017,1.093508,0.07376783
40,39,128,111,0.017,1.096461,0.08941653
41,40,128,111,0.077,1.096853,0.08701027
42,41,128,111,0.017,1.096741,0.10503571
43,42,128,111,0.072,1.096666,0.12972491
44,43,128,111,0.017,1.097157,0.09159892
45,44,128,111,0.075,1.099256,0.07979572
46,45,128,111,0.017,1.100972,0.07703878
47,46,128,111,0.075,1.100328,0.06118937
48,47,128,111,0.018,1.099075,0.05568763
49,48,128,111,0.017,1.099537,0.05137714
50,49,128,111,0.076,1.098507,0.05644706
