n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
1,0,128,111,47.141,0.531538,nan
2,1,128,111,1.475,0.539534,0.29882678
3,2,128,111,1.438,0.542056,0.15365060
4,3,128,111,1.495,0.537312,0.11581108
5,4,128,111,1.432,0.540213,0.08493841
6,5,128,111,1.500,0.541140,0.06907469
7,6,128,111,1.432,0.541098,0.05905656
8,7,128,111,1.432,0.541701,0.05137130
9,8,128,111,1.492,0.542387,0.04178350
10,9,128,111,1.498,0.542366,0.04141858
11,10,128,111,1.438,0.538298,0.04527581
12,11,128,111,1.433,0.537404,0.04137820
13,12,128,111,1.431,0.535644,0.04403523
14,13,128,111,1.434,0.535552,0.05023288
15,14,128,111,1.430,0.535810,0.03398432
16,15,128,111,1.430,0.535066,0.02965119
17,16,128,111,1.433,0.534432,0.03414120
18,17,128,111,1.462,0.535210,0.02729451
19,18,128,111,1.435,0.535431,0.02327038
20,19,128,111,1.431,0.535216,0.02318357
21,20,128,111,1.432,0.534927,0.01871433
22,21,128,111,1.453,0.534623,0.01961710
23,22,128,111,1.473,0.534832,0.01952419
24,23,128,111,1.432,0.534769,0.02101578
25,24,128,111,1.433,0.535175,0.01723760
26,25,128,111,1.430,0.535643,0.01928029
27,26,128,111,1.431,0.536063,0.01707143
28,27,128,111,1.431,0.536804,0.01964723
29,28,128,111,1.435,0.537059,0.01842034
30,29,128,111,1.431,0.536947,0.01510301
31,30,128,111,1.502,0.536443,0.01473124
32,31,128,111,1.497,0.535971,0.01518028
33,32,128,111,1.434,0.535518,0.02034509
34,33,128,111,1.431,0.534526,0.01659578
35,34,128,111,1.498,0.533891,0.01477138
36,35,128,111,1.477,0.533671,0.01327894
37,36,128,111,1.498,0.533184,0.01327232
38,37,128,111,1.433,0.533276,0.01254278
39,38,128,111,1.431,0.532826,0.01209844
40,39,128,111,1.500,0.532689,0.01273605
41,40,128,111,1.502,0.532805,0.01280647
42,41,128,111,1.440,0.532801,0.01296140
43,42,128,111,1.434,0.532896,0.01231528
44,43,128,111,1.434,0.532844,0.01039161
45,44,128,111,1.435,0.532429,0.00984506
46,45,128,111,1.432,0.532445,0.01058153
47,46,128,111,1.433,0.532620,0.00829929
48,47,128,111,1.432,0.532650,0.00839309
49,48,128,111,1.490,0.532580,0.00878338
50,49,128,111,1.502,0.532641,0.00924020
51,50,128,111,1.438,0.532787,0.00944052
52,51,128,111,1.436,0.533197,0.01043487
53,52,128,111,1.482,0.533010,0.00867995
54,53,128,111,1.490,0.533057,0.00972417
55,54,128,111,1.562,0.533751,0.01224452
56,55,128,111,1.437,0.533737,0.00937737
57,56,128,111,1.480,0.533700,0.00823318
58,57,128,111,1.438,0.533822,0.00825571
59,58,128,111,1.438,0.534015,0.00737162
60,59,128,111,1.493,0.534189,0.00635952
61,60,128,111,1.471,0.533924,0.00710357
62,61,128,111,1.482,0.533835,0.00706775
63,62,128,111,1.546,0.533674,0.00768329
64,63,128,111,1.482,0.533692,0.00692487
65,64,128,111,1.481,0.534129,0.00714430
66,65,128,111,1.575,0.533746,0.00679907
67,66,128,111,1.583,0.533393,0.00726526
68,67,128,111,1.576,0.533270,0.00627245
69,68,128,111,1.512,0.533044,0.00758618
70,69,128,111,1.489,0.532930,0.00627094
71,70,128,111,1.476,0.532900,0.00645260
72,71,128,111,1.434,0.532977,0.00561055
73,72,128,111,1.431,0.532742,0.00652274
74,73,128,111,1.430,0.533115,0.00876218
75,74,128,111,1.494,0.533005,0.00600516
76,75,128,111,1.558,0.532865,0.00700060
77,76,128,111,1.435,0.532833,0.00666614
78,77,128,111,1.435,0.532784,0.00667789
79,78,128,111,1.434,0.532710,0.00589524
80,79,128,111,1.433,0.532689,0.00577197
81,80,128,111,1.432,0.532649,0.00655895
82,81,128,111,1.433,0.532519,0.00584882
83,82,128,111,1.438,0.532567,0.00655482
84,83,128,111,1.433,0.532527,0.00637407
85,84,128,111,1.433,0.532625,0.00649944
86,85,128,111,1.486,0.532727,0.00583286
87,86,128,111,1.490,0.532806,0.00595701
88,87,128,111,1.436,0.532812,0.00580601
89,88,128,111,1.434,0.533024,0.00630606
90,89,128,111,1.484,0.533266,0.00621161
91,90,128,111,1.433,0.533198,0.00520725
92,91,128,111,1.432,0.533279,0.00527116
93,92,128,111,1.433,0.533368,0.00503443
94,93,128,111,1.435,0.533421,0.00519711
95,94,128,111,1.482,0.533448,0.00533733
96,95,128,111,1.472,0.533548,0.00486641
97,96,128,111,1.436,0.533648,0.00459892
98,97,128,111,1.492,0.533738,0.00460542
99,98,128,111,1.443,0.533731,0.00510119
100,99,128,111,1.487,0.533730,0.00446958
101,100,128,111,1.470,0.533724,0.00450946
102,101,128,111,1.437,0.533581,0.00427742
103,102,128,111,1.481,0.533469,0.00451787
104,103,128,111,1.432,0.533376,0.00409546
105,104,128,111,1.432,0.533359,0.00434090
106,105,128,111,1.431,0.533401,0.00427013
107,106,128,111,1.431,0.533493,0.00461174
108,107,128,111,1.496,0.533539,0.00479063
109,108,128,111,1.500,0.533610,0.00430090
110,109,128,111,1.434,0.533542,0.00389670
111,110,128,111,1.434,0.533566,0.00525148
112,111,128,111,1.432,0.533498,0.00466494
113,112,128,111,1.431,0.533419,0.00365079
114,113,128,111,1.431,0.533536,0.00502907
115,114,128,111,1.482,0.533451,0.00399490
116,115,128,111,1.479,0.533283,0.00451450
117,116,128,111,1.484,0.533278,0.00444081
118,117,128,111,1.489,0.533267,0.00501700
119,118,128,111,1.432,0.533178,0.00438451
120,119,128,111,1.431,0.533148,0.00433339
121,120,128,111,1.433,0.533137,0.00395066
122,121,128,111,1.431,0.532994,0.00415675
123,122,128,111,1.430,0.532811,0.00412778
124,123,128,111,1.435,0.532739,0.00359008
125,124,128,111,1.432,0.532690,0.00403490
126,125,128,111,1.431,0.532695,0.00431316
127,126,128,111,1.431,0.532701,0.00462020
128,127,128,111,1.430,0.532607,0.00401376
129,128,128,111,1.483,0.532611,0.00322139
130,129,128,111,1.475,0.532666,0.00386937
131,130,128,111,1.438,0.532431,0.00345544
132,131,128,111,1.432,0.532344,0.00367335
133,132,128,111,1.433,0.532150,0.00349568
134,133,128,111,1.432,0.532099,0.00429199
135,134,128,111,1.431,0.532144,0.00478674
136,135,128,111,1.431,0.531989,0.00423145
137,136,128,111,1.431,0.531937,0.00401996
138,137,128,111,1.431,0.531901,0.00336035
139,138,128,111,1.430,0.531917,0.00334352
140,139,128,111,1.430,0.531991,0.00330938
141,140,128,111,1.430,0.531996,0.00291599
142,141,128,111,1.430,0.532028,0.00367983
143,142,128,111,1.491,0.531989,0.00324260
144,143,128,111,1.474,0.532118,0.00370417
145,144,128,111,1.431,0.532092,0.00301781
146,145,128,111,1.431,0.532142,0.00302041
147,146,128,111,1.431,0.532158,0.00282443
148,147,128,111,1.489,0.532103,0.00357293
149,148,128,111,1.465,0.532135,0.00293991
150,149,128,111,1.445,0.532051,0.00346908
151,150,128,111,1.433,0.532001,0.00519753
152,151,128,111,1.432,0.531927,0.00455273
153,152,128,111,1.432,0.531763,0.00389786
154,153,128,111,1.432,0.531627,0.00425778
155,154,128,111,1.435,0.531470,0.00360012
156,155,128,111,1.432,0.531432,0.00277380
157,156,128,111,1.434,0.531126,0.00303675
158,157,128,111,1.433,0.531059,0.00267379
159,158,128,111,1.432,0.530914,0.00267247
160,159,128,111,1.435,0.530919,0.00286564
161,160,128,111,1.433,0.530821,0.00284873
162,161,128,111,1.483,0.530755,0.00287232
163,162,128,111,1.435,0.530711,0.00266447
164,163,128,111,1.495,0.530612,0.00252162
165,164,128,111,1.552,0.530583,0.00252134
166,165,128,111,1.486,0.530553,0.00248902
167,166,128,111,1.498,0.530474,0.00248151
168,167,128,111,1.434,0.530410,0.00259697
169,168,128,111,1.433,0.530436,0.00249168
170,169,128,111,1.441,0.530392,0.00254715
171,170,128,111,1.487,0.530366,0.00241381
172,171,128,111,1.502,0.530376,0.00307988
173,172,128,111,1.432,0.530382,0.00263714
174,173,128,111,1.432,0.530352,0.00243827
175,174,128,111,1.433,0.530421,0.00241664
176,175,128,111,1.478,0.530387,0.00255286
177,176,128,111,1.434,0.530472,0.00271884
178,177,128,111,1.432,0.530363,0.00246160
179,178,128,111,1.433,0.530327,0.00263544
180,179,128,111,1.433,0.530208,0.00257733
181,180,128,111,1.431,0.530151,0.00244062
182,181,128,111,1.431,0.530115,0.00208145
183,182,128,111,1.484,0.530155,0.00232653
184,183,128,111,1.475,0.530047,0.00232698
185,184,128,111,2.040,0.530056,0.00237164
186,185,128,111,1.433,0.530012,0.00233605
187,186,128,111,1.431,0.530040,0.00207783
188,187,128,111,1.480,0.530072,0.00289203
189,188,128,111,1.433,0.530104,0.00232498
190,189,128,111,1.433,0.530124,0.00226864
191,190,128,111,1.432,0.530165,0.00250286
192,191,128,111,1.432,0.530156,0.00241103
193,192,128,111,1.432,0.530198,0.00239661
194,193,128,111,1.432,0.530193,0.00217684
195,194,128,111,1.431,0.530196,0.00236019
196,195,128,111,1.432,0.530252,0.00298435
197,196,128,111,1.438,0.530176,0.00222914
198,197,128,111,1.433,0.530207,0.00248121
199,198,128,111,1.432,0.530254,0.00268354
200,199,128,111,1.434,0.530337,0.00250369
201,200,128,111,1.490,0.530408,0.00236877
202,201,128,111,1.433,0.530413,0.00200155
203,202,128,111,1.433,0.530448,0.00306885
204,203,128,111,1.433,0.530534,0.00288026
205,204,128,111,1.434,0.530693,0.00268404
206,205,128,111,1.478,0.530699,0.00219148
207,206,128,111,1.432,0.530618,0.00211105
208,207,128,111,1.432,0.530688,0.00223588
209,208,128,111,1.479,0.530631,0.00280886
210,209,128,111,1.476,0.530633,0.00249210
211,210,128,111,1.475,0.530685,0.00260797
212,211,128,111,1.432,0.530709,0.00243086
213,212,128,111,1.476,0.530753,0.00253331
214,213,128,111,1.432,0.530784,0.00218161
215,214,128,111,1.436,0.530840,0.00229359
216,215,128,111,1.434,0.530908,0.00240685
217,216,128,111,1.433,0.530964,0.00210694
