Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/320 [00:00<?, ?it/s]Loading weights: 100%|██████████| 320/320 [00:00<00:00, 3427.90it/s]
band: L12..L21
categories with >=6 single-token candidates: ['country', 'color', 'fruit', 'sport', 'instrument', 'planet', 'tree', 'bird', 'language', 'profession', 'beverage', 'organ', 'city', 'river']
1a mean Spearman by layer: {12: 0.455, 13: 0.473, 14: 0.523, 15: 0.633, 16: 0.658, 17: 0.671, 18: 0.711, 19: 0.733, 20: 0.796, 21: 0.829}
1b: 79/81 top-1, 81/81 top-5
{'cat': 'country', 'source': 'China', 'target': 'Canada', 'J_comp_rank': 0, 'nonJ_comp_rank': 209, 'nonJ_clamped_rank': 174}
{'cat': 'country', 'source': 'China', 'target': 'Norway', 'J_comp_rank': 3, 'nonJ_comp_rank': 755, 'nonJ_clamped_rank': 1122}
{'cat': 'country', 'source': 'China', 'target': 'Mexico', 'J_comp_rank': 1, 'nonJ_comp_rank': 56, 'nonJ_clamped_rank': 248}
{'cat': 'color', 'source': 'blue', 'target': 'Gold', 'J_comp_rank': 0, 'nonJ_comp_rank': 5, 'nonJ_clamped_rank': 43}
{'cat': 'color', 'source': 'blue', 'target': 'Cyan', 'J_comp_rank': 2, 'nonJ_comp_rank': 8, 'nonJ_clamped_rank': 82}
{'cat': 'color', 'source': 'blue', 'target': 'Brown', 'J_comp_rank': 1, 'nonJ_comp_rank': 1, 'nonJ_clamped_rank': 14}
{'cat': 'fruit', 'source': 'banana', 'target': 'Lime', 'J_comp_rank': 1, 'nonJ_comp_rank': 54, 'nonJ_clamped_rank': 84}
{'cat': 'fruit', 'source': 'banana', 'target': 'Berry', 'J_comp_rank': 1, 'nonJ_comp_rank': 113, 'nonJ_clamped_rank': 78}
{'cat': 'fruit', 'source': 'banana', 'target': 'Plum', 'J_comp_rank': 1, 'nonJ_comp_rank': 179, 'nonJ_clamped_rank': 342}
{'cat': 'sport', 'source': 'football', 'target': 'Cricket', 'J_comp_rank': 1, 'nonJ_comp_rank': 2, 'nonJ_clamped_rank': 39}
{'cat': 'sport', 'source': 'football', 'target': 'Rugby', 'J_comp_rank': 1, 'nonJ_comp_rank': 5, 'nonJ_clamped_rank': 22}
{'cat': 'sport', 'source': 'football', 'target': 'Cycling', 'J_comp_rank': 1, 'nonJ_comp_rank': 14, 'nonJ_clamped_rank': 216}
{'cat': 'instrument', 'source': 'piano', 'target': 'Violin', 'J_comp_rank': 1, 'nonJ_comp_rank': 210, 'nonJ_clamped_rank': 84}
{'cat': 'instrument', 'source': 'piano', 'target': 'Organ', 'J_comp_rank': 2181, 'nonJ_comp_rank': 13163, 'nonJ_clamped_rank': 9798}
{'cat': 'instrument', 'source': 'piano', 'target': 'Flute', 'J_comp_rank': 1, 'nonJ_comp_rank': 838, 'nonJ_clamped_rank': 219}
{'cat': 'planet', 'source': 'Earth', 'target': 'Sun', 'J_comp_rank': 14, 'nonJ_comp_rank': 2466, 'nonJ_clamped_rank': 1964}
{'cat': 'planet', 'source': 'Earth', 'target': 'Neptune', 'J_comp_rank': 0, 'nonJ_comp_rank': 2118, 'nonJ_clamped_rank': 444}
{'cat': 'planet', 'source': 'Earth', 'target': 'Uranus', 'J_comp_rank': 112, 'nonJ_comp_rank': 13449, 'nonJ_clamped_rank': 19396}
{'cat': 'tree', 'source': 'pine', 'target': 'Elm', 'J_comp_rank': 2, 'nonJ_comp_rank': 859, 'nonJ_clamped_rank': 3205}
{'cat': 'tree', 'source': 'pine', 'target': 'Palm', 'J_comp_rank': 1, 'nonJ_comp_rank': 3, 'nonJ_clamped_rank': 68}
{'cat': 'tree', 'source': 'pine', 'target': 'Cherry', 'J_comp_rank': 1, 'nonJ_comp_rank': 10, 'nonJ_clamped_rank': 193}
{'cat': 'bird', 'source': 'crow', 'target': 'Swan', 'J_comp_rank': 0, 'nonJ_comp_rank': 95, 'nonJ_clamped_rank': 149}
{'cat': 'bird', 'source': 'crow', 'target': 'Robin', 'J_comp_rank': 2, 'nonJ_comp_rank': 159, 'nonJ_clamped_rank': 62}
{'cat': 'bird', 'source': 'crow', 'target': 'Falcon', 'J_comp_rank': 0, 'nonJ_comp_rank': 342, 'nonJ_clamped_rank': 74}
{'cat': 'language', 'source': 'English', 'target': 'Dutch', 'J_comp_rank': 4, 'nonJ_comp_rank': 117, 'nonJ_clamped_rank': 182}
{'cat': 'language', 'source': 'English', 'target': 'Korean', 'J_comp_rank': 1, 'nonJ_comp_rank': 12, 'nonJ_clamped_rank': 240}
{'cat': 'language', 'source': 'English', 'target': 'Greek', 'J_comp_rank': 3, 'nonJ_comp_rank': 15, 'nonJ_clamped_rank': 77}
{'cat': 'profession', 'source': 'Doctor', 'target': 'Chef', 'J_comp_rank': 0, 'nonJ_comp_rank': 30, 'nonJ_clamped_rank': 475}
{'cat': 'profession', 'source': 'Doctor', 'target': 'Banker', 'J_comp_rank': 1734, 'nonJ_comp_rank': 803, 'nonJ_clamped_rank': 1203}
{'cat': 'profession', 'source': 'Doctor', 'target': 'Pilot', 'J_comp_rank': 6, 'nonJ_comp_rank': 732, 'nonJ_clamped_rank': 749}
{'cat': 'beverage', 'source': 'water', 'target': 'Milk', 'J_comp_rank': 4, 'nonJ_comp_rank': 20, 'nonJ_clamped_rank': 94}
{'cat': 'beverage', 'source': 'water', 'target': 'Cola', 'J_comp_rank': 2, 'nonJ_comp_rank': 41, 'nonJ_clamped_rank': 161}
{'cat': 'beverage', 'source': 'water', 'target': 'Cider', 'J_comp_rank': 0, 'nonJ_comp_rank': 2005, 'nonJ_clamped_rank': 1718}
{'cat': 'organ', 'source': 'heart', 'target': 'Tongue', 'J_comp_rank': 1, 'nonJ_comp_rank': 7, 'nonJ_clamped_rank': 50}
{'cat': 'organ', 'source': 'heart', 'target': 'Ear', 'J_comp_rank': 0, 'nonJ_comp_rank': 2, 'nonJ_clamped_rank': 13}
{'cat': 'organ', 'source': 'heart', 'target': 'Stomach', 'J_comp_rank': 0, 'nonJ_comp_rank': 2, 'nonJ_clamped_rank': 18}
{'cat': 'city', 'source': 'Tokyo', 'target': 'Madrid', 'J_comp_rank': 0, 'nonJ_comp_rank': 135, 'nonJ_clamped_rank': 737}
{'cat': 'city', 'source': 'Tokyo', 'target': 'Berlin', 'J_comp_rank': 0, 'nonJ_comp_rank': 5, 'nonJ_clamped_rank': 51}
{'cat': 'city', 'source': 'Tokyo', 'target': 'Moscow', 'J_comp_rank': 0, 'nonJ_comp_rank': 78, 'nonJ_clamped_rank': 903}
{'cat': 'river', 'source': 'Nile', 'target': 'Jordan', 'J_comp_rank': 0, 'nonJ_comp_rank': 504, 'nonJ_clamped_rank': 317}
{'cat': 'river', 'source': 'Nile', 'target': 'Congo', 'J_comp_rank': 0, 'nonJ_comp_rank': 58, 'nonJ_clamped_rank': 89}
{'cat': 'river', 'source': 'Nile', 'target': 'Ohio', 'J_comp_rank': 0, 'nonJ_comp_rank': 19, 'nonJ_clamped_rank': 261}
1c: {'J_top5': 37, 'nonJ_top5': 5, 'nonJ_clamped_top5': 0, 'n': 42}
saved runs/qwen08_c1.json
